current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_pic_list
k1su/qian-feng-zi-zhu-can,前峰自助餐,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蒲燒雙鯛魚便當,$ 95,NA,1
k1su/qian-feng-zi-zhu-can,前峰自助餐,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),酥炸雞腿排便當,$ 90,NA,1
k1su/qian-feng-zi-zhu-can,前峰自助餐,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),嫩煎雞腿排便當,$ 90,NA,1
k1su/qian-feng-zi-zhu-can,前峰自助餐,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),酥炸排骨便當,$ 85,NA,1
k1su/qian-feng-zi-zhu-can,前峰自助餐,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雙拼綜合便當,$ 90,NA,1
z1vn/niu-niu-chao-fan-gao-xiong-re-he-dian,王牌炒飯幫,4.6/5,NA,NA,沙茶牛肉蛋炒飯,from $ 100,NA,0
z1vn/niu-niu-chao-fan-gao-xiong-re-he-dian,王牌炒飯幫,4.6/5,NA,NA,鮭魚蛋炒飯,from $ 95,NA,0
z1vn/niu-niu-chao-fan-gao-xiong-re-he-dian,王牌炒飯幫,4.6/5,NA,NA,香腸蛋炒飯,from $ 95,NA,0
z1vn/niu-niu-chao-fan-gao-xiong-re-he-dian,王牌炒飯幫,4.6/5,NA,NA,蝦仁蛋炒飯,from $ 100,NA,1
z1vn/niu-niu-chao-fan-gao-xiong-re-he-dian,王牌炒飯幫,4.6/5,NA,NA,肉絲蛋炒飯,from $ 85,NA,0
z1vn/niu-niu-chao-fan-gao-xiong-re-he-dian,王牌炒飯幫,4.6/5,NA,NA,台式炒麵,from $ 90,NA,1
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Set A,from $ 127$ 159,$ 159,0
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Set B,from $ 143$ 179,$ 179,0
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Set C,from $ 167$ 209,$ 209,0
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Milk Black Tea,from $ 40$ 50,$ 50,1
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Golden Crispy Fries,$ 36$ 45,$ 45,1
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Original Flavor Crispy Fried Noodles,from $ 60$ 75,$ 75,0
q7zu/xin-tai-wan-yuan-wei-gu-shan-mei-ming-dian,新台灣原味 (鼓山美明店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),鹽酥小卷,from $ 160,NA,1
q7zu/xin-tai-wan-yuan-wei-gu-shan-mei-ming-dian,新台灣原味 (鼓山美明店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蔥爆松板豬,from $ 170,NA,1
q7zu/xin-tai-wan-yuan-wei-gu-shan-mei-ming-dian,新台灣原味 (鼓山美明店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蔥爆牛肉,from $ 150,NA,0
