current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_pic_list
y6gf/tu-tuo-yu-gao-xiong-qing-feng-dian,土魠魚焿 (高雄慶豐店),4.5/5,NA,NA,土魠魚塊,$ 75,NA,0
y6gf/tu-tuo-yu-gao-xiong-qing-feng-dian,土魠魚焿 (高雄慶豐店),4.5/5,NA,NA,炸餛飩,$ 40,NA,1
eu8q/jie-wu-xiao-huo-guo,桔屋小火鍋,4.6/5,NA,NA,牛肉鍋套餐【獨家餐點】,from $ 135,NA,0
eu8q/jie-wu-xiao-huo-guo,桔屋小火鍋,4.6/5,NA,NA,豬肉鍋套餐【獨家餐點】,from $ 135,NA,0
eu8q/jie-wu-xiao-huo-guo,桔屋小火鍋,4.6/5,NA,NA,黃金泡菜鍋套餐【獨家餐點】,from $ 145,NA,0
eu8q/jie-wu-xiao-huo-guo,桔屋小火鍋,4.6/5,NA,NA,牛奶鍋套餐【獨家餐點】,from $ 175,NA,0
eu8q/jie-wu-xiao-huo-guo,桔屋小火鍋,4.6/5,NA,NA,牛肉壽喜鍋套餐【獨家餐點】,from $ 175,NA,0
eu8q/jie-wu-xiao-huo-guo,桔屋小火鍋,4.6/5,NA,NA,壽喜牛蓋飯套餐【獨家餐點】,from $ 115,NA,0
m1yx/da-zhi-shi-tang,大治食堂,4.4/5,滿$100打9折,指定店家全館消費滿$100打9折,梅花肉燥飯【小】,$ 41$ 45,$ 45,1
m1yx/da-zhi-shi-tang,大治食堂,4.4/5,滿$100打9折,指定店家全館消費滿$100打9折,梅花肉燥飯【大】,$ 72$ 80,$ 80,1
m1yx/da-zhi-shi-tang,大治食堂,4.4/5,滿$100打9折,指定店家全館消費滿$100打9折,乾拌拉麵,$ 63$ 70,$ 70,1
m1yx/da-zhi-shi-tang,大治食堂,4.4/5,滿$100打9折,指定店家全館消費滿$100打9折,瓜仔肉燥飯【大】,$ 72$ 80,$ 80,0
m1yx/da-zhi-shi-tang,大治食堂,4.4/5,滿$100打9折,指定店家全館消費滿$100打9折,燙青菜,$ 45$ 50,$ 50,1
m1yx/da-zhi-shi-tang,大治食堂,4.4/5,滿$100打9折,指定店家全館消費滿$100打9折,香菇雞湯,$ 90$ 100,$ 100,0
d5ea/da-shang-pin-pai-gu-su-tang,大上品排骨酥湯,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),鍋燒意麵,from $ 70,NA,1
d5ea/da-shang-pin-pai-gu-su-tang,大上品排骨酥湯,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),肉燥飯,from $ 40,NA,1
d5ea/da-shang-pin-pai-gu-su-tang,大上品排骨酥湯,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蝦米飯,from $ 40,NA,1
d5ea/da-shang-pin-pai-gu-su-tang,大上品排骨酥湯,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),排骨酥湯,$ 45,NA,1
d5ea/da-shang-pin-pai-gu-su-tang,大上品排骨酥湯,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),現炒青菜,$ 40,NA,1
d5ea/da-shang-pin-pai-gu-su-tang,大上品排骨酥湯,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蔥花蛋,$ 40,NA,1
uodz/zhan-guo-shao,戰•鍋燒,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),經典原味鍋燒,from $ 80,NA,1
uodz/zhan-guo-shao,戰•鍋燒,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),台式沙茶鍋燒,from $ 80,NA,1
uodz/zhan-guo-shao,戰•鍋燒,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),厚重牛奶鍋燒,from $ 100,NA,1
uodz/zhan-guo-shao,戰•鍋燒,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),川味麻辣鍋燒,from $ 100,NA,1
uodz/zhan-guo-shao,戰•鍋燒,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),南瓜牛奶鍋燒,from $ 100,NA,1
uodz/zhan-guo-shao,戰•鍋燒,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻辣牛奶鍋燒,from $ 110,NA,0
w5jx/shi-xiong-di-lu-dou-tang-li-gang-hun-tun-shui-jiao-mei-shu-guan-dian,十兄弟綠豆湯. 里港餛飩 水餃 (美術館店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),Mung Bean Soup,$ 35,NA,1
w5jx/shi-xiong-di-lu-dou-tang-li-gang-hun-tun-shui-jiao-mei-shu-guan-dian,十兄弟綠豆湯. 里港餛飩 水餃 (美術館店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),Pearl Barley Soup,$ 35,NA,1
w5jx/shi-xiong-di-lu-dou-tang-li-gang-hun-tun-shui-jiao-mei-shu-guan-dian,十兄弟綠豆湯. 里港餛飩 水餃 (美術館店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),Black Rice and Red Bean Soup,$ 40,NA,1
w5jx/shi-xiong-di-lu-dou-tang-li-gang-hun-tun-shui-jiao-mei-shu-guan-dian,十兄弟綠豆湯. 里港餛飩 水餃 (美術館店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),Mung Bean and Pearl Barley Soup,$ 40,NA,1
w5jx/shi-xiong-di-lu-dou-tang-li-gang-hun-tun-shui-jiao-mei-shu-guan-dian,十兄弟綠豆湯. 里港餛飩 水餃 (美術館店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),Red Bean and Pearl Barley Soup,$ 40,NA,1
w5jx/shi-xiong-di-lu-dou-tang-li-gang-hun-tun-shui-jiao-mei-shu-guan-dian,十兄弟綠豆湯. 里港餛飩 水餃 (美術館店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),手工豆花,$ 35,NA,1
wnsr/chuan-chao-shan-dong-shui-jiao-yuan-shang-pin-zhai,川潮山東水餃 (原上品齋),4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,招牌套餐,from $ 100,NA,0
wnsr/chuan-chao-shan-dong-shui-jiao-yuan-shang-pin-zhai,川潮山東水餃 (原上品齋),4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,海藻水餃,$ 75,NA,1
wnsr/chuan-chao-shan-dong-shui-jiao-yuan-shang-pin-zhai,川潮山東水餃 (原上品齋),4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,黑豬肉高麗菜鮮蝦,$ 95,NA,1
wnsr/chuan-chao-shan-dong-shui-jiao-yuan-shang-pin-zhai,川潮山東水餃 (原上品齋),4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,麻辣鴨血豆腐,from $ 65,NA,1
wnsr/chuan-chao-shan-dong-shui-jiao-yuan-shang-pin-zhai,川潮山東水餃 (原上品齋),4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,炸醬麵,$ 70,NA,1
wnsr/chuan-chao-shan-dong-shui-jiao-yuan-shang-pin-zhai,川潮山東水餃 (原上品齋),4.6/5,滿$100折$10,指定店家全館消費滿$100折$10,螺螄粉,$ 120,NA,1
hwbe/xun-wei-shou-gong-mian,尋味手工麵,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,尋味乾麵,from $ 48$ 50,$ 50,1
hwbe/xun-wei-shou-gong-mian,尋味手工麵,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,餛飩乾麵,from $ 67$ 70,$ 70,1
hwbe/xun-wei-shou-gong-mian,尋味手工麵,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,紅油炒手,$ 57$ 60,$ 60,1
hwbe/xun-wei-shou-gong-mian,尋味手工麵,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,蝦仁蛋炒飯,$ 81$ 85,$ 85,1
hwbe/xun-wei-shou-gong-mian,尋味手工麵,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,餛飩湯,$ 43$ 45,$ 45,1
hwbe/xun-wei-shou-gong-mian,尋味手工麵,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,貢丸湯,$ 33$ 35,$ 35,0
q8cw/uben-you-fan-gao-xiong-yan-cheng-dian,Uben 油飯 (高雄鹽埕店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),辦桌油飯套餐組,$ 155,NA,1
q8cw/uben-you-fan-gao-xiong-yan-cheng-dian,Uben 油飯 (高雄鹽埕店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻油松阪豬油飯套餐,$ 175,NA,0
q8cw/uben-you-fan-gao-xiong-yan-cheng-dian,Uben 油飯 (高雄鹽埕店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻油雞油飯套餐組,$ 175,NA,1
q8cw/uben-you-fan-gao-xiong-yan-cheng-dian,Uben 油飯 (高雄鹽埕店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),辦桌油飯,$ 130,NA,0
q8cw/uben-you-fan-gao-xiong-yan-cheng-dian,Uben 油飯 (高雄鹽埕店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻油雞油飯,$ 150,NA,0
q8cw/uben-you-fan-gao-xiong-yan-cheng-dian,Uben 油飯 (高雄鹽埕店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻油松阪豬油飯,$ 150,NA,0
vayp/fu-pin-zhen-bian-dang-dian,富品臻便當店,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,招牌炸雞腿便當,from $ 125$ 139,$ 139,1
vayp/fu-pin-zhen-bian-dang-dian,富品臻便當店,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,糖醋里肌肉便當,from $ 115$ 128,$ 128,1
vayp/fu-pin-zhen-bian-dang-dian,富品臻便當店,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,特製炸排骨飯便當,from $ 115$ 128,$ 128,1
vayp/fu-pin-zhen-bian-dang-dian,富品臻便當店,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,獨家滷排骨飯便當,from $ 115$ 128,$ 128,1
vayp/fu-pin-zhen-bian-dang-dian,富品臻便當店,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,香嫩雞排便當,from $ 110$ 122,$ 122,0
vayp/fu-pin-zhen-bian-dang-dian,富品臻便當店,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,糖醋里肌肉【單點】,$ 70$ 78,$ 78,1
qcyg/a-qing-jie-xian-yu-tang,阿卿姐鮮魚湯,4/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞肉飯,$ 60,NA,1
qcyg/a-qing-jie-xian-yu-tang,阿卿姐鮮魚湯,4/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),爌肉便當,$ 80,NA,1
qcyg/a-qing-jie-xian-yu-tang,阿卿姐鮮魚湯,4/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),魚皮湯【份量升級】,$ 60,NA,1
qcyg/a-qing-jie-xian-yu-tang,阿卿姐鮮魚湯,4/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),鱸魚湯【份量升級】,$ 120,NA,1
qcyg/a-qing-jie-xian-yu-tang,阿卿姐鮮魚湯,4/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蛤湯【份量升級】,$ 60,NA,1
qcyg/a-qing-jie-xian-yu-tang,阿卿姐鮮魚湯,4/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),煎魚肚,$ 100,NA,1
n8ed/lao-cun-ji-rou-fan,老村雞肉飯,4.5/5,滿$50打9折,指定店家全館消費滿$50打9折！,雞肉飯【大】、炒季節時蔬、蛋花湯,$ 122$ 135,$ 135,1
n8ed/lao-cun-ji-rou-fan,老村雞肉飯,4.5/5,滿$50打9折,指定店家全館消費滿$50打9折！,腱仔肉飯【附荷包蛋】、炒季節時蔬、蛋花湯,$ 149$ 165,$ 165,1
n8ed/lao-cun-ji-rou-fan,老村雞肉飯,4.5/5,滿$50打9折,指定店家全館消費滿$50打9折！,古早味腿庫飯【附荷包蛋】、炒季節時蔬、蛋花湯,$ 135$ 150,$ 150,1
n8ed/lao-cun-ji-rou-fan,老村雞肉飯,4.5/5,滿$50打9折,指定店家全館消費滿$50打9折！,麻油乾拌麵線、炒季節時蔬、蛋花湯,$ 113$ 125,$ 125,1
n8ed/lao-cun-ji-rou-fan,老村雞肉飯,4.5/5,滿$50打9折,指定店家全館消費滿$50打9折！,深海石斑魚湯麵線、炒季節時蔬、荷包蛋,$ 194$ 215,$ 215,1
n8ed/lao-cun-ji-rou-fan,老村雞肉飯,4.5/5,滿$50打9折,指定店家全館消費滿$50打9折！,古早味補湯麵線、炒季節時蔬、荷包蛋,$ 131$ 145,$ 145,1
sftd/fan-ge-xian-zhou,帆哥鹹粥,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,招牌無刺虱目鱼粥【獨家餐點】,$ 95$ 100,$ 100,1
sftd/fan-ge-xian-zhou,帆哥鹹粥,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,魚皮粥【獨家餐點】,$ 95$ 100,$ 100,1
sftd/fan-ge-xian-zhou,帆哥鹹粥,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,魚肉粥【獨家餐點】,$ 95$ 100,$ 100,0
sftd/fan-ge-xian-zhou,帆哥鹹粥,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,蚵仔粥【獨家餐點】,$ 95$ 100,$ 100,0
sftd/fan-ge-xian-zhou,帆哥鹹粥,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,彰化焢肉飯【獨家餐點】,$ 90$ 95,$ 95,1
sftd/fan-ge-xian-zhou,帆哥鹹粥,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,魚皮湯【獨家餐點】,$ 76$ 80,$ 80,1
x591/zao-an-chen-bao-zuo-ying-wen-lai-dian,早安晨堡 (左營文萊店),4.8/5,NA,NA,鍋燒意麵【份量升級】,$ 85,NA,1
x591/zao-an-chen-bao-zuo-ying-wen-lai-dian,早安晨堡 (左營文萊店),4.8/5,NA,NA,8塊雞塊,$ 55,NA,1
x591/zao-an-chen-bao-zuo-ying-wen-lai-dian,早安晨堡 (左營文萊店),4.8/5,NA,NA,炸黑輪片【份量升級】,$ 55,NA,1
x591/zao-an-chen-bao-zuo-ying-wen-lai-dian,早安晨堡 (左營文萊店),4.8/5,NA,NA,蔥抓餅加蛋,$ 45,NA,1
x591/zao-an-chen-bao-zuo-ying-wen-lai-dian,早安晨堡 (左營文萊店),4.8/5,NA,NA,豬肉蛋漢堡,$ 50,NA,1
x591/zao-an-chen-bao-zuo-ying-wen-lai-dian,早安晨堡 (左營文萊店),4.8/5,NA,NA,豬肉蛋吐司,$ 45,NA,1
h69y/wan-li-mei-rou-gao-yi-shi-tang,碗裏沒肉高醫食堂,4.6/5,滿$100打95折,指定店家全館消費滿$100打95折,打抛豬肉飯,from $ 86$ 90,$ 90,0
h69y/wan-li-mei-rou-gao-yi-shi-tang,碗裏沒肉高醫食堂,4.6/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
h69y/wan-li-mei-rou-gao-yi-shi-tang,碗裏沒肉高醫食堂,4.6/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
h69y/wan-li-mei-rou-gao-yi-shi-tang,碗裏沒肉高醫食堂,4.6/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
h69y/wan-li-mei-rou-gao-yi-shi-tang,碗裏沒肉高醫食堂,4.6/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
h69y/wan-li-mei-rou-gao-yi-shi-tang,碗裏沒肉高醫食堂,4.6/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
w0rm/kao-yao-bao-gao-xiong-ben-dian,犒吆包 (高雄本店),4.5/5,滿$100打85折,指定店家全館消費滿$100打85折,Beef Cheese Steamed Bun (Mild),$ 41$ 48,$ 48,1
w0rm/kao-yao-bao-gao-xiong-ben-dian,犒吆包 (高雄本店),4.5/5,滿$100打85折,指定店家全館消費滿$100打85折,Pork Cheese Steamed Bun,$ 36$ 42,$ 42,1
w0rm/kao-yao-bao-gao-xiong-ben-dian,犒吆包 (高雄本店),4.5/5,滿$100打85折,指定店家全館消費滿$100打85折,Egg Yolk & Pork Steamed Bun,$ 31$ 36,$ 36,1
w0rm/kao-yao-bao-gao-xiong-ben-dian,犒吆包 (高雄本店),4.5/5,滿$100打85折,指定店家全館消費滿$100打85折,Pork Steamed Bun,$ 26$ 30,$ 30,1
w0rm/kao-yao-bao-gao-xiong-ben-dian,犒吆包 (高雄本店),4.5/5,滿$100打85折,指定店家全館消費滿$100打85折,Bamboo Shoot Pork Steamed Bun,$ 26$ 30,$ 30,1
w0rm/kao-yao-bao-gao-xiong-ben-dian,犒吆包 (高雄本店),4.5/5,滿$100打85折,指定店家全館消費滿$100打85折,Sesame QQ Steamed Bun (Vegan),$ 26$ 30,$ 30,1
a5wc/mai-wei-deng-gao-xiong-xin-xing-ba-de-dian,麥味登 (高雄新興八德店),4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,卡滋雞腿漢堡,from $ 81$ 85,$ 85,1
a5wc/mai-wei-deng-gao-xiong-xin-xing-ba-de-dian,麥味登 (高雄新興八德店),4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,豬肉起司滿分堡,from $ 57$ 60,$ 60,0
a5wc/mai-wei-deng-gao-xiong-xin-xing-ba-de-dian,麥味登 (高雄新興八德店),4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,雞塊,$ 43$ 45,$ 45,0
a5wc/mai-wei-deng-gao-xiong-xin-xing-ba-de-dian,麥味登 (高雄新興八德店),4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,黃金脆薯,$ 52$ 55,$ 55,1
a5wc/mai-wei-deng-gao-xiong-xin-xing-ba-de-dian,麥味登 (高雄新興八德店),4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,四角薯餅,$ 43$ 45,$ 45,1
a5wc/mai-wei-deng-gao-xiong-xin-xing-ba-de-dian,麥味登 (高雄新興八德店),4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,紅茶拿鐵,$ 57$ 60,$ 60,1
r2qf/heng-tian-shou-qie-lu-rou-fan,恆田手切滷肉飯,4.9/5,滿$250折$40,指定店家全館消費滿$250折$40,炸甜不辣,$ 60,NA,1
r2qf/heng-tian-shou-qie-lu-rou-fan,恆田手切滷肉飯,4.9/5,滿$250折$40,指定店家全館消費滿$250折$40,炸雞翅,$ 75,NA,1
r2qf/heng-tian-shou-qie-lu-rou-fan,恆田手切滷肉飯,4.9/5,滿$250折$40,指定店家全館消費滿$250折$40,川味腸旺綜合煲【五花豬】,$ 180,NA,1
r2qf/heng-tian-shou-qie-lu-rou-fan,恆田手切滷肉飯,4.9/5,滿$250折$40,指定店家全館消費滿$250折$40,雞白湯雞腿煲,$ 170,NA,0
r2qf/heng-tian-shou-qie-lu-rou-fan,恆田手切滷肉飯,4.9/5,滿$250折$40,指定店家全館消費滿$250折$40,雞濃珍菇湯,$ 70,NA,0
r2qf/heng-tian-shou-qie-lu-rou-fan,恆田手切滷肉飯,4.9/5,滿$250折$40,指定店家全館消費滿$250折$40,B套餐,$ 200,NA,0
e8qf/can-shi-hao-guo-shao,參食號鍋燒,4.4/5,NA,NA,原味鍋燒,from $ 75,NA,0
e8qf/can-shi-hao-guo-shao,參食號鍋燒,4.4/5,NA,NA,沙茶鍋燒,from $ 75,NA,0
e8qf/can-shi-hao-guo-shao,參食號鍋燒,4.4/5,NA,NA,牛奶鍋燒,from $ 85,NA,1
e8qf/can-shi-hao-guo-shao,參食號鍋燒,4.4/5,NA,NA,泡菜鍋燒,from $ 85,NA,1
e8qf/can-shi-hao-guo-shao,參食號鍋燒,4.4/5,NA,NA,麻辣鍋燒,from $ 95,NA,1
e8qf/can-shi-hao-guo-shao,參食號鍋燒,4.4/5,NA,NA,薯條,$ 35,NA,1
efa2/mu-ben-shan,牧本膳,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,咖哩飯【嫩雞】,$ 86$ 90,$ 90,0
efa2/mu-ben-shan,牧本膳,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,咖哩飯【雞排】,$ 95$ 100,$ 100,1
efa2/mu-ben-shan,牧本膳,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,剝皮辣椒雞湯飯,$ 105$ 110,$ 110,1
efa2/mu-ben-shan,牧本膳,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,麻婆豆腐飯,$ 95$ 100,$ 100,1
efa2/mu-ben-shan,牧本膳,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
efa2/mu-ben-shan,牧本膳,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,NA,NA,NA,NA
uopy/chang-chang-guo-shao-gao-xiong-gao-yi-dian,昌昌鍋燒 (高雄高醫店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),昌昌1號鍋,from $ 85,NA,1
uopy/chang-chang-guo-shao-gao-xiong-gao-yi-dian,昌昌鍋燒 (高雄高醫店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),昌昌2號鍋,from $ 125,NA,1
uopy/chang-chang-guo-shao-gao-xiong-gao-yi-dian,昌昌鍋燒 (高雄高醫店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),昌昌3號鍋,from $ 165,NA,1
uopy/chang-chang-guo-shao-gao-xiong-gao-yi-dian,昌昌鍋燒 (高雄高醫店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),古早味肉燥飯,$ 35,NA,1
uopy/chang-chang-guo-shao-gao-xiong-gao-yi-dian,昌昌鍋燒 (高雄高醫店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),金錢蝦餅,$ 40,NA,1
uopy/chang-chang-guo-shao-gao-xiong-gao-yi-dian,昌昌鍋燒 (高雄高醫店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),海苔蟹味捲,$ 50,NA,1
e2gd/ji-liang-mian,一吉涼麵,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),月見涼麵【小】+湯品+涼拌小菜,$ 120,NA,1
e2gd/ji-liang-mian,一吉涼麵,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞絲涼麵【小】+湯品+涼拌小菜,$ 120,NA,1
e2gd/ji-liang-mian,一吉涼麵,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),月見涼麵【大】+【湯品/小菜】擇一,from $ 120,NA,1
e2gd/ji-liang-mian,一吉涼麵,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞絲涼麵【大】+【湯品/小菜】擇一,from $ 120,NA,1
e2gd/ji-liang-mian,一吉涼麵,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞絲涼麵,from $ 70,NA,0
e2gd/ji-liang-mian,一吉涼麵,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),三合一【綜合湯、味噌加蛋加貢丸】,$ 45,NA,1
ukds/xiang-ju-niu-rou-mian,巷居牛肉麵,4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,紅燒牛肉麵,$ 143$ 150,$ 150,0
ukds/xiang-ju-niu-rou-mian,巷居牛肉麵,4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,清燉牛肉麵,$ 143$ 150,$ 150,0
ukds/xiang-ju-niu-rou-mian,巷居牛肉麵,4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,牛肉乾拌麵,$ 133$ 140,$ 140,0
ukds/xiang-ju-niu-rou-mian,巷居牛肉麵,4.5/5,滿$100打95折,指定店家全館消費滿$100打95折,醡醬麵,$ 81$ 85,$ 85,0
